account_number,name,mobile,pincode,account_product_type,narration,amount,timestamp,label
327560404903,Akila,7636034022,600094,Current,WEB-TRF/921116679408/Balaji,30397,1762818692,0
478384327578,Xavier,7717549533,600037,Savings,APP-P2P/9388704694/David,4384,1744808940,1
451700833605,Isai,9193161747,600065,Savings,ATM-WDL/ATM00103/Erode,47136,1749554682,0
823804790667,Chethan,7778215043,600012,Current,UPI/7686556403/Venkat/CANARA,48619,1765704823,0
571681565927,Chandru,6531233244,600053,Current,ATM-WDL/ATM00433/Tirunelveli,15267,1765534056,0
525457291329,Malathi,6751607004,600031,Current,IMPS/563819465017/Karthik,48606,1741636416,0
826969558947,Kavya,8213865527,600025,Current,APP-P2P/7784195002/Deepak,33794,1758844624,0
691489599421,Elan,8270564185,600001,Savings,ATM-WDL/ATM00367/Chennai,26111,1754645262,0
764605226247,Bala,8932664891,600048,Savings,ATM-WDL/ATM00111/Thanjavur,10792,1747818115,1
494052137862,Elakiya,8688815011,600066,Savings,UPI/8288378546/Bala/CANARA,21993,1751090720,0
320043140665,Brindha,9819228743,600088,Current,ATM-WDL/ATM00183/Trichy,47183,1757948936,0
829803154365,Prasad,6662690748,600016,Current,WEB-TRF/287979992058/Latha,16306,1755295068,0
796438534639,Vanitha,9109983685,600014,Current,UPI/7576713058/Karthik/BOB,47723,1750092469,0
317349919148,Gomathi,6801324251,600015,Savings,APP-P2P/6145478504/Yamuna,42291,1761729070,0
867075253205,Sathish,8351773777,600085,Savings,UPI/8649094557/David/CANARA,8307,1746058857,0
551919996948,Suresh,7737694585,600077,Savings,ATM-WDL/ATM00459/Trichy,34180,1738896387,0
558931479050,Naveen,6940871299,600044,Current,UPI/9232144692/Deepa/CANARA,16986,1744847463,0
460416193005,Bala,9656472462,600034,Savings,WEB-TRF/262214550361/Gowri,19353,1759180517,0
973265034362,Uday,8366736510,600023,Savings,IMPS/509035536805/Prem,31688,1765899518,0
639169099420,Ezhilarasi,9186413609,600026,Current,UPI/7990566476/Elan/AXIS,4308,1762589557,0
405954572987,Venkat,7585244416,600001,Savings,ATM-WDL/ATM00219/Salem,31471,1766759947,0
398970758558,Latha,8327487108,600021,Savings,UPI/8396835884/Rajesh/CANARA,7428,1749870071,0
971249231492,Elakiya,6112104620,600065,Savings,IMPS/903065826504/Deepa,23380,1748158628,0
221922476101,Manoj,8834169147,600070,Savings,IMPS/239985787301/Honey,14907,1762783044,0
284082623975,Padmaja,7749628181,600024,Current,WEB-TRF/228905084733/Ajith,46143,1739337521,0
703654824803,Qasim,6514191043,600012,Savings,IMPS/178540861380/Ezhilarasi,49311,1743828699,0
131175611787,Hari,9318568997,600100,Savings,UPI/6405100495/Ezhilarasi/PNB,6290,1764382450,1
822397984378,Ojas,7239368332,600076,Current,UPI/6519161284/Ezhilarasi/BOB,32120,1753052755,0
160783466535,Elakiya,7197121569,600019,Current,IMPS/312898043347/Ojas,14675,1764486986,1
175583770724,Yamuna,6798731008,600082,Savings,APP-P2P/7117395980/Suresh,39069,1757662922,0
193760855526,Eswaran,6575350648,600036,Current,IMPS/895864836024/Brindha,44729,1750799182,0
775818890108,Nalini,8607967437,600080,Current,UPI/7172933177/Iyappan/CANARA,19247,1739688865,0
781543694211,Lokesh,6564069488,600082,Current,UPI/6135562953/Fathima/BOB,19800,1735757182,0
708475063537,Deepa,6567437221,600094,Current,ATM-WDL/ATM00302/Coimbatore,9121,1753223884,1
582574347738,Uma,7293808096,600036,Current,WEB-TRF/451110159769/Uma,24152,1758070056,0
140944232868,Kamala,7841193655,600002,Savings,APP-P2P/7789180803/Padmaja,32022,1750947772,0
715185449924,Balaji,6322000821,600050,Savings,WEB-TRF/854411693232/Hari,22917,1738092146,0
508445352061,Priya,8537604605,600014,Savings,WEB-TRF/627433779118/Vivek,5744,1751202596,1
218003389626,Xavier,8222182472,600044,Savings,WEB-TRF/988198381000/Venkat,47525,1737530668,0
998882429201,Thamarai,6657650136,600078,Current,IMPS/584237708229/Kavya,46033,1763655678,1
670047465658,Swetha,8643189555,600016,Savings,ATM-WDL/ATM00165/Madurai,10255,1741516445,0
332187078481,Venkat,8846213062,600002,Savings,UPI/7262089272/Yashwant/AXIS,18174,1756665908,0
831077843256,Padmaja,6711499558,600068,Savings,WEB-TRF/363657881599/Isai,8990,1749744211,0
524408120800,Hari,7110290140,600072,Current,WEB-TRF/288372276108/Vikram,11049,1760149208,0
782202665531,Janani,9659418299,600040,Current,APP-P2P/7270482551/Venkat,10099,1745456808,0
251511184925,Akila,9586995296,600048,Savings,ATM-WDL/ATM00173/Erode,31137,1751418885,0
673713086243,Arjun,6376815988,600016,Savings,IMPS/396540044346/Ramesh,17009,1766695294,0
253285458311,Kavya,6679878671,600026,Current,APP-P2P/9594875030/Elakiya,35849,1744195792,0
759531011427,Gowri,9136091415,600067,Savings,IMPS/597222317593/Vivek,29150,1755720513,0
308123696895,Thamarai,7998195716,600056,Current,APP-P2P/6893576480/Oviya,39061,1748294968,0
